CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE
41504915,THE FIFTH ESTATE,BROOKLYN,506,5 AVENUE,11215,7188400089
41504919,SAMMY'S BEACH BAR & GRILL,QUEENS,1,JFK INTEL,11430,7184255680
41504943,THEE SEVEN SISTER'S,BROOKLYN,245,RALPH AVENUE,11233,7184430739
41504953,O'Casey's,MANHATTAN,22,EAST   41 STREET,10017,2126856807
41505017,MORGAN STANLEY CONFERENCE CENTER,MANHATTAN,522,5 AVENUE,10036,2122966699
41505035,BAGUETTEABOUDIT,BROOKLYN,270,VANDERBILT AVENUE,11205,7186228333
41505165,WINE BAR & RISTORANTE,MANHATTAN,1742,2 AVENUE,10128,2124271010
41505290,ROMEO'S PIZZA,QUEENS,13424,CROSSBAY BOULEVARD,11417,7188453300
41505301,SOCIETY BILLARDS AND BAR,MANHATTAN,10,EAST   21 STREET,10010,2124201000
41505306,HOMBRES LOUNGE,QUEENS,8528,37 AVENUE,11372,7188033560
41505315,AZUL TEQUILA RESTAURANT,BROOKLYN,1429,MYRTLE AVENUE,11237,7184463803
41505331,HOT SHOTZ SPORTS BAR I,STATEN ISLAND,6323,AMBOY ROAD,10309,7182270057
41505345,KING WOK CHINESE RESTAURANT,BRONX,63,EAST KINGSBRIDGE ROAD,10468,7183296121
41505347,WHITE CROSS FISHING CLUB BAR & GRILL,BRONX,750,CLARENCE AVENUE,10465,7185977347
41505353,HEALTHY KEEPERS,STATEN ISLAND,390,PORT RICHMOND AVE,10302,7182735199
41505364,NEW HONG CHEONG RESTAURANT,BROOKLYN,143,GREENE AVENUE,11238,7188578094
41505368,KING FOOD,MANHATTAN,489,AMSTERDAM AVENUE,10024,2127998467
41505393,EQUINOX,MANHATTAN,2465,BROADWAY,10025,2127991111
41505432,Bagel Bistro & Diner,STATEN ISLAND,1810,VICTORY BOULEVARD,10314,7187206919
41505456,DAY BREAK CAFE RESTAURANT,QUEENS,4501,34 AVENUE,11101,7187210411
41505614,CROWN FRIED CHICKEN,BROOKLYN,1719,PITKIN AVENUE,11212,3475290193
41505636,TIENDA VIEJA RESTAURANT,QUEENS,65626564,FRESH MEADOW LANE,11365,7183213644
41505645,GOOD CHINESE RESTAURANT,BROOKLYN,663,KNICKERBOCKER AVENUE,11221,7183667829
41505687,CHINA KING RESTAURANT,BRONX,1254,CASTLE HILL AVENUE,10462,7188280588
41505824,NEW DRAGON,QUEENS,12402,ROCKAWAY BOULEVARD,11420,7187382888
41505828,SUMA SUSHI,MANHATTAN,964,AMSTERDAM AVENUE,10025,2122805858
41505885,BOBBY VAN'S GRILL,MANHATTAN,120,WEST   45 STREET,10036,2125752599
41505961,CARIBBEAN CABANA RESTAURANT & LOUNGE,QUEENS,116-02,JAMAICA AVENUE,11418,7188490500
41505982,TROPICAL JADE GARDEN RESTAURANT,QUEENS,10801,LIBERTY AVENUE,11419,7186414168
41506131,IL PUNTO RISTORANTE,MANHATTAN,507509,9 AVENUE,10018,2122440088
41506174,JAMAICAN FLAVOURS,QUEENS,228-01,LINDEN BOULEVARD,11411,7183417777
41506226,SUBWAY,STATEN ISLAND,2200,RICHMOND AVENUE,10314,7186981960
41506337,POPEYES CHICKEN & BISCUITS,QUEENS,14202,ROCKAWAY BOULEVARD,11436,7183233500
41506388,BREADZONE,BROOKLYN,2223,86 STREET,11214,3477025002
41506401,MELBA'S 125,MANHATTAN,163,WEST 125 STREET,10027,2128647717
41506479,GREGORYS COFFEE,MANHATTAN,551,7 AVENUE,10018,2127646730
41506725,K & K SUPER BUFFET,QUEENS,341,ST NICHOLAS AVENUE,11385,7183817111
41506875,INC LOUNGE,MANHATTAN,224,WEST   49 STREET,10019,2123202984
41506877,AVA LOUNGE,MANHATTAN,210,WEST   55 STREET,10019,2129567020
41506879,THE BAR,MANHATTAN,204,WEST   55 STREET,10019,2129567020
41506985,EAST LAKE SEAFOOD RESTAURANT,QUEENS,37-17,PRINCE STREET,11354,7183580888
41507012,CHAMPS,BROOKLYN,176,AINSLIE STREET,11211,7185992743
41507070,KING DAVID,QUEENS,10110,QUEENS BOULEVARD,11375,7188967686
41507161,LAFAYETTE ESPRESSO BAR AND MARKETPLACE,MANHATTAN,189,LAFAYETTE STREET,10013,2122268812
41507172,BARI'S PIZZA & PASTA RESTAURANT,STATEN ISLAND,596,BAY STREET,10304,7188760002
41507194,"BISOUS, CIAO.",MANHATTAN,101,STANTON STREET,10002,2122603463
41507277,MENDY'S KOSHER DELICATESSEN,MANHATTAN,875,3 AVENUE,10022,2123080303
41507305,ROUGE ET BLANC,MANHATTAN,48,MACDOUGAL STREET,10012,2122605757
41507327,HAWKERS,MANHATTAN,225,EAST   14 STREET,10003,2129821688
41507371,LE PAIN QUOTIDIEN,MANHATTAN,2,RIVER TERRACE,10282,2122272300
41507388,KENNEDY CHICKEN & BISCUIT,BRONX,4652,3 AVENUE,10458,7186849969
41507398,GRIFF'S PLACE,STATEN ISLAND,702,NEW DORP LANE,10306,7187444148
41507479,SUN'S KANG RONG RESTAURANT,BRONX,1064,COLLEGE AVENUE,10456,7182938225
41507517,KENNEDY FRIED CHICKEN,QUEENS,9110,SUTPHIN BOULEVARD,11435,7186576777
41507617,MR. TANG DONG,BROOKLYN,7521,3 AVENUE,11209,7187483131
41507697,BIER INTERNATIONAL,MANHATTAN,2099,8 AVENUE,10026,2122800944
41507753,COFFEE BITES,BROOKLYN,824,WASHINGTON AVENUE,11238,3477872991
41507757,PALERMO PIZZERIA RESTAURANT,QUEENS,248-49,JERICHO TURNPIKE,11426,7183431800
41507777,SUSHI YASUDA,MANHATTAN,204,EAST   43 STREET,10017,2129721001
41507901,THE LIVING ROOM,MANHATTAN,123,WASHINGTON STREET,10006,6468268640
41508020,FUEL ENERGY GRILL,MANHATTAN,112,WEST   38 STREET,10018,2128403835
41508109,PURE THAI RESTAURANT,MANHATTAN,766,9 AVENUE,10019,2125810999
41508160,DUNKIN DONUTS,MANHATTAN,266,1 AVENUE,10009,2125334189
41508164,DUNKIN DONUTS,MANHATTAN,215,1 AVENUE,10003,2124755928
41508168,WING WAH RESTAURANT,QUEENS,9812,METROPOLITAN AVENUE,11375,7182615154
41508177,TAL BAGELS,MANHATTAN,2446,BROADWAY,10024,2127120171
41508226,DUNKIN DONUTS,MANHATTAN,243,9 AVENUE,10001,2123370251
41508258,BELLA MAMA ROSE,STATEN ISLAND,264,MORNINGSTAR ROAD,10303,7189810545
41508355,LAS HERMANAS,QUEENS,42-26,COLLEGE POINT BOULEVARD,11355,7184617036
41508490,NARGILA GRILL,MANHATTAN,1599,YORK AVENUE,10028,2125353700
41508542,MILLESIME,MANHATTAN,92,MADISON AVENUE,10016,2129928100
41508685,HAPPY GARDEN,BROOKLYN,188,WILSON AVENUE,11237,7186023800
41508817,SUBWAY,BROOKLYN,1819,AVENUE U,11229,3474623201
41508862,FARINELLA,MANHATTAN,1132,LEXINGTON AVENUE,10075,2123272702
41508916,HAAB,BROOKLYN,202,LEONARD STREET,11206,7183884261
41508999,WANG CHINA CITY,BROOKLYN,756,LINDEN BOULEVARD,11203,7185662222
41509012,MAKANA,MANHATTAN,2245,1 AVENUE,10029,2129963534
41509061,THE JUNCTION,MANHATTAN,329,LEXINGTON AVENUE,10016,2126827700
41509082,DAHLIA'S,MANHATTAN,300,EAST 5 STREET,10003,2124755939
41509086,OUR PLACE RESTAURANT,BROOKLYN,8922,FLATLANDS AVENUE,11236,3473126052
41509130,3 SHEETS SALOON,MANHATTAN,134,WEST    3 STREET,10012,2127771733
41509250,MASON JAR,MANHATTAN,45,EAST   30 STREET,10016,2122133587
41509559,NEW FU FAN RESTAURANT,QUEENS,8505,WHITNEY AVENUE,11373,7184247300
41509575,SUGAR BEETS,BROOKLYN,227,ROEBLING STREET,11211,6464645850
41509586,BONGO,MANHATTAN,395,WEST STREET,10014,2126756555
41509593,MONA LISA PIZZERIA & RISTORANTE,STATEN ISLAND,839,ANNADALE ROAD,10312,7189671000
41509686,EL TEQUILERO II BAR,BROOKLYN,1915,CONEY ISLAND AVENUE,11230,3474629090
41509765,FISHERMAN'S COVE,BROOKLYN,2147,NOSTRAND AVENUE,11210,3473529115
41509784,PEKING KITCHEN II,MANHATTAN,2162,8 AVENUE,10026,2122227888
41509864,ANGELA'S TACO,BROOKLYN,2270,86 STREET,11214,7182662568
41509875,LAKRUWANA SRI LANKA UNDER ONE ROOF,STATEN ISLAND,668,BAY STREET,10304,3478576619
41509889,NESPRESSO,MANHATTAN,92,PRINCE STREET,10012,2122198071
41509909,BILL'S BAR & BURGER ROCKEFELLER CENTER,MANHATTAN,45,ROCKEFELLER CENTER,10020,2127058510
41509998,EXPRESS COFFEE SHOP,BROOKLYN,723,5 AVENUE,11215,7184994735
41510014,EL CANELAZO BAR RESTAURANT,QUEENS,80-04,ROOSEVELT AVENUE,11372,7184290016
41510203,MOMO SUSHI,BROOKLYN,43,BOGART STREET,11206,7184186666
41510404,JUSTIN'S,QUEENS,245-13,FRANCIS LEWIS BOULEVARD,11422,7189781949
41510509,THE THREE MONKEYS,MANHATTAN,236,WEST 54 STREET,10019,2125862080
41510566,QATHRA,BROOKLYN,1112,CORTELYOU ROAD,11218,7184843322
41510637,YI LAN HALAL RESTAURANT,QUEENS,4279,MAIN STREET,11355,7188863622
41510643,JIN CHENG RESTAURANT,QUEENS,142-38,ROOSEVELT AVENUE,11354,7189611668
41510644,CURRY HUT,MANHATTAN,534,9 AVENUE,10018,2129675885
41510678,EL CAMPEON DE LOS POLLOS RESTAURANT,QUEENS,11106,LEFFERTS BOULEVARD,11420,7187385361
41510816,OUTBACK STEAKHOUSE,MANHATTAN,60,WEST   23 STREET,10010,2129893122
41510846,218 RESTAURANT,MANHATTAN,218220,GRAND STREET,10013,2122268039
41510896,PAERDEGAT ATHLETIC CLUB,BROOKLYN,1500,PAERDEGAT AVE NORTH,11236,7182091010
41510938,AFTER 8,QUEENS,2587,STEINWAY STREET,11103,7187775757
41510955,COOYAH,BRONX,3563,BOSTON ROAD,10469,7186544400
41510990,SUBWAYS,STATEN ISLAND,1775,RICHMOND ROAD,10306,7183702120
41511019,PINE BOX ROCK SHOP,BROOKLYN,12,GRATTAN STREET,11206,7183666311
41511039,KING WOK RESTAURANT,MANHATTAN,3575,BROADWAY,10031,2122815167
41511064,GREAT DRAGON PALACE,QUEENS,13822,FARMERS BOULEVARD,11434,7187121300
41511125,PINKBERRY,MANHATTAN,596,9 AVENUE,10036,2129578440
41511169,THE ROCK SHOP,BROOKLYN,249,4 AVENUE,11215,7182305740
41511228,YUMMY YUMMY KITCHEN,BROOKLYN,4122,4 AVENUE,11232,7187680988
41511273,BETTOLONA,MANHATTAN,3143,BROADWAY,10027,2127491125
41511288,CARVEL ICE CREAM,QUEENS,16310,CROSSBAY BOULEVARD,11414,7188433875
41511300,BABYLON,MANHATTAN,208,EAST   34 STREET,10016,2129330912
41511329,DUNKIN' DONUTS,BROOKLYN,6000,SHORE PARKWAY,11234,7182583241
41511333,CHINA PAVILION,BROOKLYN,302,TROY AVENUE,11213,7182218888
41511424,DORIAN CAFE,QUEENS,10-01,50 AVENUE,11101,7189371120
41511427,CULTURE ESPRESSO,MANHATTAN,72,WEST 38 STREET,10018,2123020200
41511463,GERBASI RISTORANTE,BRONX,2389,ARTHUR AVENUE,10458,7182205735
41511548,BARNES & NOBLE CAFE,BROOKLYN,267,7 AVENUE,11215,7188329066
41511573,BETTER GOURMET HEALTH KITCHEN,STATEN ISLAND,2333,HYLAN BOULEVARD,10306,7186680400
41511660,EL ECONOMICO RESTAURANT,BRONX,5589,BROADWAY,10463,7186015577
41511725,NEW CAFE MINUTKA,BROOKLYN,504,BRIGHTON BEACH AVENUE,11235,7185130075
41511775,JIN XIN CHINESE RESTAURANT,BRONX,1023,OGDEN AVENUE,10452,7185881688
41511781,LE PAIN QUOTIDIEN,MANHATTAN,65,BLEECKER STREET,10012,6467974922
41511789,SAVOY BAKERY,BROOKLYN,883,39 STREET,11232,7184396343
41511792,GUELAGUETZA,MANHATTAN,526,WEST   47 STREET,10036,2122652626
41511959,EL LOBITO LOCO,STATEN ISLAND,74,VICTORY BOULEVARD,10301,7187274000
41511984,CADAQUES,BROOKLYN,188,GRAND STREET,11211,7182187776
41512057,LA BERGAMOTE,MANHATTAN,177,9 AVENUE,10011,2126279010
41512126,LP 'N HARMONY,BROOKLYN,683,GRAND STREET,11211,6467658269
41512259,DUNKIN DONUTS,QUEENS,41-59,KISSENA BOULEVARD,11355,7183212096
41512397,TWO GRANDPA'S PIZZA,BRONX,1839,GRAND CONCOURSE,10453,3472697375
41512460,BELLINI RESTAURANT,MANHATTAN,483,COLUMBUS AVENUE,10024,2127244615
41512557,CHINA CITY RESTAURANT,BROOKLYN,903,MYRTLE AVENUE,11206,7183023888
41512559,EL VIEJO JOBO RESTAURANT,MANHATTAN,231,SHERMAN AVENUE,10034,2125675050
41512566,FUSHA,MANHATTAN,1065,1 AVENUE,10022,2127528883
41512587,KAFF KAFE,BROOKLYN,5320,16 AVENUE,11204,7184360808
41512625,BURGER KING,BROOKLYN,1727,BEDFORD AVENUE,11225,3472721804
41512734,CENTRAL MARKET,MANHATTAN,1,PENN PLAZA,10001,6463987100
41512813,BRAVO PIZZA,MANHATTAN,146,5 AVENUE,10011,2122536090
41512842,CHECKERS,BROOKLYN,277,BROADWAY,11211,7183877900
41512878,LA SLOWTERIA,BROOKLYN,548,COURT STREET,11231,7188582222
41512888,LASANI RESTAURANT,MANHATTAN,15,WEST   29 STREET,10001,2126833737
41512890,DRAGON EXPRESS,QUEENS,42-36,235 STREET,11363,7184285500
41512966,CHINA WOK,MANHATTAN,454,LENOX AVENUE,10037,2122814188
41512984,SAMURAI MAMA,BROOKLYN,205,GRAND STREET,11211,7185996161
41512992,BAY RIDGE DINER,BROOKLYN,8017,5 AVENUE,11209,7189210266
41513074,WB CARIBBEAN RESTAURANT,BROOKLYN,9407,CHURCH AVENUE,11212,7183421543
41513110,CROWN FRIED CHICKEN,QUEENS,170-02,HILLSIDE AVENUE,11432,7182973200
41513165,VARIETY BAKERY,QUEENS,80-28,NORTHERN BOULEVARD,11372,7184463625
41513180,HOTEL TORTUGA,MANHATTAN,246,EAST   14 STREET,10003,2122281884
41513237,GUANG MING,MANHATTAN,1764,1 AVENUE,10128,2129961570
41513238,TOKYO SUSHI,BROOKLYN,1915,AVENUE U,11229,7186465639
41513240,RIVER PARK,MANHATTAN,450,EAST   29 STREET,10010,2127299790
41513242,'WICHCRAFT,MANHATTAN,440,EAST   29 STREET,10010,2127800577
41513285,MINNI SHABU SHABU,QUEENS,13617,38 AVENUE,11354,7187626277
41513313,SCHNITZI,BROOKLYN,5326,NEW UTRECHT AVENUE,11219,7186333337
41513509,NEW WOK,BRONX,481,BROOK AVENUE,10455,7182925132
41513545,THE FAT RADISH,MANHATTAN,17,ORCHARD STREET,10002,2123004053
41513612,T2 - GO,BROOKLYN,2001,ORIENTAL BOULEVARD,11235,7183685959
41513619,ARKANSAS CHICKEN & PIZZA,BRONX,778,EAST TREMONT AVENUE,10460,7189015444
41513741,SADDLE ROAD ROTI SHOP,BROOKLYN,873,SCHENECTADY AVENUE,11203,3472953404
41513747,PRET A MANGER,MANHATTAN,179,BROADWAY,10007,2126087501
41513756,GREAT WALL RESTAURANT,BRONX,1179,PUGSLEY AVENUE,10472,7188920256
41513758,LITTLE CAESARS,BROOKLYN,300,WYCKOFF AVENUE,11237,7184180307
41513768,NEW KIM'S CHINESE FOOD,QUEENS,242-22,MERRICK BOULEVARD,11422,7185252166
41513809,MONA LISA,QUEENS,36-13,164 STREET,11358,7187620053
41513849,GRAND GREAT WALL RESTAURANT INC,MANHATTAN,1588,AMSTERDAM AVENUE,10031,2122837123
41514254,ELIM DELI CAFE,MANHATTAN,851,LEXINGTON AVENUE,10065,2124398320
41514283,HONG KONG KITCHEN,QUEENS,8446,ELIOT AVENUE,11379,7188031501
41514376,WICHCRAFT,MANHATTAN,601,WEST   26 STREET,10001,2127800577
41514395,ESMERALDO BAKERY,MANHATTAN,538,WEST  181 STREET,10033,2125432250
41514447,EL PAISANO PIZZERIA,BRONX,3444,EAST TREMONT AVENUE,10465,7188236318
41514518,LE BISTRO D'A COTE,MANHATTAN,1590,1 AVENUE,10028,2127729200
41514541,ATLANTIC GRILL WEST,MANHATTAN,49,WEST   64 STREET,10023,2127874663
41514563,LA NUEVA LECHONERA,BRONX,1250,SOUTHERN BOULEVARD,10459,3475775920
41514585,VENTICINQUE COFFEE,BROOKLYN,162,5 AVENUE,11217,9172172984
41514590,THE BEST TASTE OF ITALY PIZZERIA & RESTAURANT,QUEENS,84-07,JAMAICA AVENUE,11421,7188058190
41514595,AL-RAHAMANIA RESTAURANT AND CATERING,QUEENS,43-39,MAIN STREET,11355,7184612900
41514611,MARLENE TAVERN & WINE BAR,QUEENS,4111,49 STREET,11104,7182057330
41514631,PRONTO PIZZA,BROOKLYN,139,COURT STREET,11201,7185222225
41514633,DOUBLE DRAGON,BROOKLYN,8712,AVENUE L,11236,7182098070
41514706,FRIED DUMPLING JIE JIE SHENG,QUEENS,4004,UNION STREET,11354,7189393489
41514714,STRAND BISTRO,MANHATTAN,33,WEST   37 STREET,10018,2124481024
41514752,FRANCOIS PAYARD BAKERY,MANHATTAN,116,WEST HOUSTON STREET,10012,2129950888
41514880,EL PANCHO STEAK HOUSE,BRONX,43,BRUCKNER BOULEVARD,10454,7185855855
41514937,WORLD BEAN,QUEENS,0,LAGUARDIA AIRPORT,11369,3479560539
41514945,CHOP'T CREATIVE SALAD COMPANY,MANHATTAN,80,PINE STREET,10005,9173384803
41514954,GOOD UNITS,MANHATTAN,353,WEST   57 STREET,10019,2125546000
41514976,LUCID CAFE,MANHATTAN,311,LEXINGTON AVENUE,10016,2122908546
41514977,JUVENTINO,BROOKLYN,370,FIFTH AVENUE,11215,7183608469
41515000,7TH GEAR BAR,QUEENS,18-32,COLLEGE POINT BOULEVARD,11356,7184453666
41515015,TAGLIARE PIZZA  DELTA TERMINAL,QUEENS,0,LAGUARDIA AIRPORT,11369,2159970667
41515017,LAS MARGARITAS,BROOKLYN,7215,3 AVENUE,11209,7182387630
41515019,BISOUX RESTAURANT,QUEENS,0,LAGUARDIA AIRPORT,11369,2159970667
41515131,MARGIE'S RED ROSE DINER,MANHATTAN,275,WEST  144 STREET,10030,2124917685
41515207,FORDHAM UNIVERSITY COSI CAFE,BRONX,441,EAST FORDHAM ROAD,10458,7188174515
41515433,SHERATON TRIBECA NEW YORK HOTEL,MANHATTAN,370372,CANAL STREET,10013,2123663400
41515437,SUPER SKYWAY RESTAURANT,BROOKLYN,2032,BATH AVENUE,11214,7183733332
41515470,NARUTO RAMEN,BROOKLYN,276,5 AVENUE,11215,7188321111
41515501,GEORGES LUNCHEONETTE,BROOKLYN,2157,UTICA AVENUE,11234,7183779182
41515513,GENERAL ASSEMBLY,MANHATTAN,360,PARK AVENUE SOUTH,10010,2129517111
41515650,NYU-WEINSTEIN DINING HALL,MANHATTAN,511,UNIVERSITY PLACE,10003,2129984693
41515676,KYOTO,BROOKLYN,115,SMITH STREET,11201,7185225888
41515681,LEE WANG RESTAURANT,BRONX,2129,VALENTINE AVENUE,10457,7183647995
41515691,ANDRE'S HUNGARIAN STRUDELS & PASTRIES,MANHATTAN,1049,1 AVENUE,10022,2122078117
41515769,XIN BAO SUSHI HOUSE,QUEENS,13742,GUY R BREWER BOULEVARD,11434,7189778989
41515807,SUSHI TATSU ON FRANKLIN,BROOKLYN,609,FRANKLIN AVENUE,11238,7183988828
41515837,MEXI Q KITCHEN,QUEENS,37-11/13,30 AVENUE,11103,7186260333
41515853,BISOUX MARKET/WORLD BEAN,QUEENS,0,LAGUARDIA AIRPORT,11369,2159970667
41515855,STATION B/ IDLE HANDS,MANHATTAN,25,AVENUE B,10009,6466926216
41515859,CUSTOM BURGERS PAT LA FRIEDA,QUEENS,0,LAGUARDIA AIRPORT,11369,2159970667
41515868,BAR BRACE,QUEENS,0,LAGUARDIA AIRPORT,11369,6464775291
41516054,CAFE MAGGIO,MANHATTAN,1750,YORK AVENUE,10128,9178379211
41516062,DISARA,STATEN ISLAND,121,ROMA AVENUE,10306,7189792290
41516207,TOST CAFE,QUEENS,25-02,QUEENS PLAZA SOUTH,11101,7187868200
41516263,NO QUARTER,BROOKLYN,8015,5 AVENUE,11209,7187019180
41516309,GREAT WALL KITCHEN,BRONX,991,PROSPECT AVENUE,10459,7188424075
41516427,KING WOK TAKEOUT,BROOKLYN,3510,NOSTRAND AVENUE,11229,7186152117
41516545,CENTRO DE BIENESTAR DAYSI,QUEENS,8778,169 STREET,11432,9174402314
41516689,THE JUICE BAR,STATEN ISLAND,2655,RICHMOND AVENUE,10314,7188099253
41516864,MISO,BROOKLYN,40,MAIN STREET,11201,7188588388
41517071,PINKBERRY,MANHATTAN,330,WEST   58 STREET,10019,2123970412
41517082,CARMINE'S ORIGINAL PIZZA,BROOKLYN,93,NORMAN AVENUE,11222,7183830417
41517086,GIUSEPPINA'S BRICK OVEN,BROOKLYN,691,6 AVENUE,11215,7184995052
41517331,FIVE GUYS BURGERS AND FRIES,MANHATTAN,316,WEST   34 STREET,10001,2125646115
41517559,VILLA ELBA CATERING,BRONX,1710,UNIVERSITY AVENUE,10453,7186187065
41517701,PLANET WINGS,BRONX,5981,BROADWAY,10463,7188849464
41517703,MARK JOSEPH CAKES,MANHATTAN,402,EAST   80 STREET,10075,2125850085
41517779,HAPPY KITCHEN,QUEENS,8012,37 AVENUE,11372,7188031600
41517801,CHINA GARDEN RESTAURANT,BROOKLYN,1157,BROADWAY,11221,7189194476
41517897,BUENA NUTRICION,MANHATTAN,52,SHERMAN AVENUE,10040,6463541997
41517953,JAMBA JUICE,MANHATTAN,,PENN STATION,10001,2122444462
41517961,BREEZE THAI-FRENCH KITCHEN,MANHATTAN,661,9 AVENUE,10036,2122627777
41518053,PROSPERITY DUMPLING,MANHATTAN,46,ELDRIDGE STREET,10002,2123430683
41518177,AU BON PAIN,MANHATTAN,525,EAST   68 STREET,10065,2127467642
41518586,BEDFORD HILL,BROOKLYN,343,FRANKLIN AVENUE,11238,7186367650
41518692,JR GOURMET DELI & PRODUCE,BRONX,2045,BARTOW AVENUE,10475,7186710717
41518767,"THE CANAL PARK PLAYHOUSE, INC",MANHATTAN,508,CANAL STREET,10013,9175935933
41518776,XING LONG CHINESE RESTAURANT,BRONX,553,EAST  169 STREET,10456,7182938888
41518842,THE BAGEL MARKET,BROOKLYN,106,7 AVENUE,11215,7182304700
41518872,TACOS EL BRONCO RESTAURANT,BROOKLYN,4324,4 AVENUE,11232,7187880229
41518879,RED HOUSE ASIAN FUSION,QUEENS,192-03,UNION TURNPIKE,11366,7184685900
41518991,XIANG GARDEN,BROOKLYN,401,AVENUE P,11223,7183827727
41519256,BENJYS KOSHER PIZZA & DAIRY RESTAURANT,QUEENS,72-72,MAIN STREET,11367,7182680791
41519329,HOMESTYLE FOOD SERVICES (ST. BARNABAS HIGH SCHOOL),BRONX,413,EAST  241 STREET,10470,9144975421
41519334,ICE CREAM CENTER & CAFE,BROOKLYN,4511,13 AVENUE,11219,7184380018
41519339,GAZALA PLACE,MANHATTAN,101,WEST   78 STREET,10024,2128738880
41519373,BUNGALO,QUEENS,3203,BROADWAY,11106,7182047010
41519383,BALIMAYA RESTAURANT,BRONX,2535,3 AVENUE,10451,7184011122
41519401,AGAVE DELI GROCERY,BROOKLYN,252,KINGS HIGHWAY,11223,7182661006
41519403,BROOKLYN WINERY,BROOKLYN,213,NORTH    8 STREET,11211,3477631506
41519432,SAN MATTEO PIZZA ESPRESSO BAR,MANHATTAN,1739,2 AVENUE,10128,2124266943
41519523,CONEY ISLAND GYRO/A-Z BBQ,BROOKLYN,1621,NEPTUNE AVENUE,11224,7186761902
41519552,MI BOLIVIA RESTAURANT,QUEENS,4414,48 AVENUE,11377,7187845111
41519582,CHINA KING,STATEN ISLAND,14,BRADLEY AVENUE,10314,7189838866
41519587,BLIND BARBER,MANHATTAN,339,EAST 10 STREET,10009,2122282123
41519649,SUBWAY,QUEENS,11814,JAMAICA AVENUE,11418,7184874079
41519677,OMIYA SUSHI JAPANESE CUISINE,BROOKLYN,8618,4 AVENUE,11209,7187481977
41519679,RIVERDALE SECOND HELPING,BRONX,3532,JOHNSON AVENUE,10463,7185481818
41519681,FIGURA SALUDABLE,QUEENS,92-08,173 STREET,11433,6465750348
41519688,TOASTIES,MANHATTAN,148,WEST   49 STREET,10019,2123984900
41519699,GULF CAFE,BROOKLYN,6802,4 AVENUE,11220,7184398162
41519860,LALLISSE,MANHATTAN,161,LEXINGTON AVENUE,10016,2126861352
41519872,SUBWAY,MANHATTAN,563,LENOX AVENUE,10037,2128620104
41519888,NONO,QUEENS,42-23,BELL BOULEVARD,11361,7184286666
41519961,MORINI,MANHATTAN,218,LAFAYETTE STREET,10012,2129658777
41520081,PINKBERRY,MANHATTAN,24,ST MARKS PLACE,10003,2122280373
41520084,PINKBERRY,MANHATTAN,523,6 AVENUE,10011,2124148429
41520341,EASTERN CHINESE RESTAURANT,BROOKLYN,127,KINGSTON AVENUE,11213,7187353408
41520417,INDUSTRY,MANHATTAN,355,WEST   52 STREET,10019,6464762747
41520477,SABOR A MEXICO TAQUERIA,MANHATTAN,160,1 AVENUE,10009,2125334002
41520487,ALOFT HARLEM WXYZ REFUEL,MANHATTAN,2300,FREDERICK DOUGLAS BOULEVARD,10027,2127494000
41520588,V'NOTE,MANHATTAN,1522,1 AVENUE,10075,2122495009
41520610,BAREBURGER,MANHATTAN,535,LAGUARDIA PLACE,10012,2124778125
41520637,POPEYE'S CHICKEN & BISCUITS,QUEENS,4010,82 STREET,11373,7187797728
41520658,V-NAM CAFE,MANHATTAN,1820,1 AVENUE,10009,2127806020
41520756,BAKE & THINGS RESTAURANT,BROOKLYN,1489,FLATBUSH AVENUE,11210,7184841080
41520844,POP'S COFFEE DINER,QUEENS,4429,KISSENA BOULEVARD,11355,7184637719
41520872,KIKU SUSHI,BROOKLYN,453,7 AVENUE,11215,7183691155
41520990,WORLD BEAN,QUEENS,0,LAGUARDIA AIRPORT,11369,7186566210
41521007,PRIME TAVERN/DELTA TERMINAL,QUEENS,,LAGUARDIA AIRPORT,11369,7186566210
41521059,WORLD MARKET,QUEENS,0,LAGUARDIA AIRPORT,11369,7186566210
41521154,LE PAIN QUOTIDIEN,MANHATTAN,52,9 AVENUE,10011,2127329540
41521159,CITY SANDWICH,MANHATTAN,649,9 AVENUE,10036,6466843943
41521260,FIVE GUYS BURGERS & FRIES,QUEENS,6122,188 STREET,11365,7182641818
41521264,WAH LUNG RESTAURANT,BROOKLYN,1932,KINGS HIGHWAY,11229,7183821825
41521287,WEST NEW MALAYSIA RESTAURANT,MANHATTAN,4648,BOWERY,10013,2129640284
41521360,PARIS BAGUETTE,MANHATTAN,6,WEST   32 STREET,10001,2122440404
41521630,AMERICAN RETRO BAR & GRILL,MANHATTAN,714,11 AVENUE,10019,2122452203
41521683,ELEMENT NEW YORK,MANHATTAN,309311,WEST   39 STREET,10018,2126430770
41521764,SAIGON RESTAURANT,QUEENS,61-42,SPRINGFIELD BOULEVARD,11364,7188192988
41521807,SARGE'S,MANHATTAN,548,3 AVENUE,10016,2126790442
41521810,VIVE LA CREPE!,MANHATTAN,51,SPRING STREET,10012,6464846897
41521827,SHANGHAI CAFE DELUXE,MANHATTAN,100,MOTT STREET,10013,2129663988
41522057,LOS CHIPOTLES,QUEENS,77-04,ROOSEVELT AVENUE,11372,7184763330
41522082,LINCOLN RISTORANTE,MANHATTAN,142,WEST   65 STREET,10023,2123596500
41522258,"SUBWAY, PIZZA & BURGER UR WAY",BROOKLYN,528,CLARKSON AVENUE,11203,3476636004
